Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 10 Enplanements,CY 09 Enplanements,% Change
1,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,"43,130,585","42,280,868",2.01%
2,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,"32,171,831","31,135,732",3.33%
3,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,"28,857,755","27,439,897",5.17%
4,SW,TX,DFW,Fort Worth,Dallas/Fort Worth International,P,L,"27,100,656","26,663,984",1.64%
5,NM,CO,DEN,Denver,Denver International,P,L,"25,241,962","24,013,669",5.11%
6,EA,NY,JFK,New York,John F Kennedy International,P,L,"22,934,047","22,710,272",0.99%
7,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,P,L,"19,528,631","19,290,239",1.24%
8,WP,CA,SFO,San Francisco International Airport,San Francisco International,P,L,"19,359,003","18,467,908",4.83%
9,WP,NV,LAS,Las Vegas,McCarran International,P,L,"18,996,738","19,445,952",-2.31%
10,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,"18,907,171","18,559,647",1.87%
11,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,"18,629,181","17,165,376",8.53%
12,SO,FL,MIA,Miami,Miami International,P,L,"17,017,654","16,187,768",5.13%
13,SO,FL,MCO,Orlando,Orlando International,P,L,"17,017,491","16,371,016",3.95%
14,EA,NJ,EWR,Newark,Newark Liberty International,P,L,"16,571,754","16,659,441",-0.53%
15,GL,MI,DTW,Detroit,Detroit Metropolitan Wayne County,P,L,"15,643,890","15,211,402",2.84%
16,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,L,"15,512,487","15,551,206",-0.25%
17,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,"15,406,243","15,273,092",0.87%
18,EA,PA,PHL,Philadelphia,Philadelphia International,P,L,"14,951,254","15,002,961",-0.34%
19,NE,MA,BOS,Boston,General Edward Lawrence Logan International,P,L,"13,561,814","12,566,797",7.92%
20,EA,NY,LGA,New York,La Guardia,P,L,"12,001,501","11,084,300",8.27%
21,EA,VA,IAD,Dulles,Washington Dulles International,P,L,"11,276,481","11,132,098",1.30%
22,EA,MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshal,P,L,"10,848,633","10,338,950",4.93%
23,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,"10,829,810","10,258,118",5.57%
24,NM,UT,SLC,Salt Lake City,Salt Lake City International,P,L,"9,910,493","9,903,821",0.07%
25,WP,HI,HNL,Honolulu,Honolulu International,P,L,"8,740,077","8,739,389",0.01%
26,EA,VA,DCA,Arlington,Ronald Reagan Washington National,P,L,"8,736,804","8,490,288",2.90%
27,GL,IL,MDW,Chicago,Chicago Midway International,P,L,"8,518,957","8,253,620",3.21%
28,WP,CA,SAN,San Diego,San Diego International,P,L,"8,430,509","8,453,854",-0.28%
29,SO,FL,TPA,Tampa,Tampa International,P,L,"8,137,222","8,263,294",-1.53%
,,,29,,,,L Count,,,
30,NM,OR,PDX,Portland,Portland International,P,M,"6,582,227","6,430,119",2.37%
31,CE,MO,STL,St. Louis,Lambert-St Louis International,P,M,"6,044,760","6,084,070",-0.65%
32,CE,MO,MCI,Kansas City,Kansas City International,P,M,"4,946,173","4,894,349",1.06%
33,SO,TN,MEM,Memphis,Memphis International,P,M,"4,930,935","5,054,191",-2.44%
34,GL,WI,MKE,Milwaukee,General Mitchell International,P,M,"4,760,170","3,822,542",24.53%
35,WP,CA,OAK,Oakland,Metropolitan Oakland International,P,M,"4,673,417","4,612,631",1.32%
36,GL,OH,CLE,Cleveland,Cleveland-Hopkins International,P,M,"4,591,097","4,704,329",-2.41%
37,SO,NC,RDU,Raleigh,Raleigh-Durham International,P,M,"4,465,736","4,435,624",0.68%
38,SO,TN,BNA,Nashville,Nashville International,P,M,"4,432,527","4,385,780",1.07%
39,WP,CA,SMF,Sacramento,Sacramento International,P,M,"4,424,279","4,460,600",-0.81%
40,SW,TX,HOU,Houston,William P Hobby,P,M,"4,357,835","4,087,524",6.61%
41,WP,CA,SNA,Santa Ana,John Wayne Airport-Orange County,P,M,"4,278,623","4,311,329",-0.76%
42,SO,PR,SJU,San Juan,Luis Munoz Marin International,P,M,"4,243,475","4,094,662",3.63%
43,SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,"4,201,136","4,027,100",4.32%
44,SW,LA,MSY,Metairie,Louis Armstrong New Orleans International,P,M,"4,088,889","3,916,746",4.40%
45,WP,CA,SJC,San Jose,Norman Y. Mineta San Jose International,P,M,"4,056,167","4,103,834",-1.16%
46,EA,PA,PIT,Pittsburgh,Pittsburgh International,P,M,"3,996,656","3,956,842",1.01%
47,SW,TX,SAT,San Antonio,San Antonio International,P,M,"3,916,320","3,791,928",3.28%
48,SO,KY,CVG,Greater Cincinnati International Airport,Cincinnati/Northern Kentucky International,P,M,"3,906,826","5,194,214",-24.79%
49,SW,TX,DAL,Dallas,Dallas Love Field,P,M,"3,783,407","3,675,861",2.93%
50,GL,IN,IND,Indianapolis,Indianapolis International,P,M,"3,728,698","3,732,534",-0.10%
51,SO,FL,RSW,Fort Myers,Southwest Florida International,P,M,"3,714,157","3,668,279",1.25%
52,GL,OH,CMH,Columbus,Port Columbus International,P,M,"3,145,962","3,096,515",1.60%
53,SO,FL,PBI,West Palm Beach,Palm Beach International,P,M,"2,958,416","3,004,076",-1.52%
54,SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,"2,828,420","2,881,798",-1.85%
55,SO,FL,JAX,Jacksonville,Jacksonville International,P,M,"2,755,719","2,777,041",-0.77%
56,NE,CT,BDL,Windsor Locks,Bradley International,P,M,"2,640,155","2,626,873",0.51%
57,EA,NY,BUF,Buffalo,Buffalo Niagara International,P,M,"2,602,968","2,657,467",-2.05%
58,WP,HI,OGG,Kahului,Kahului,P,M,"2,587,214","2,496,145",3.65%
59,WP,CA,ONT,Ontario,Ontario International,P,M,"2,380,881","2,416,872",-1.49%
60,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,"2,342,310","2,282,666",2.61%
61,WP,CA,BUR,Burbank,Bob Hope,P,M,"2,239,804","2,294,991",-2.40%
62,CE,NE,OMA,Omaha,Eppley Airfield,P,M,"2,097,958","2,083,973",0.67%
63,NE,RI,PVD,Warwick,Theodore Francis Green State,P,M,"1,951,566","2,153,168",-9.36%
64,WP,NV,RNO,Reno,Reno/Tahoe International,P,M,"1,857,488","1,828,818",1.57%
65,WP,AZ,TUS,Tucson,Tucson International,P,M,"1,844,228","1,795,534",2.71%
,,,36,,,,M Count,,,
66,SW,OK,OKC,Oklahoma City,Will Rogers World,P,S,"1,710,993","1,662,631",2.91%
67,EA,VA,ORF,Norfolk,Norfolk International,P,S,"1,663,294","1,701,246",-2.23%
68,EA,VA,RIC,Highland Springs,Richmond International,P,S,"1,651,131","1,649,284",0.11%
69,SO,KY,SDF,Louisville,Louisville International-Standiford Field,P,S,"1,651,037","1,622,804",1.74%
70,NM,WA,GEG,Spokane,Spokane International,P,S,"1,545,115","1,494,490",3.39%
71,SW,TX,ELP,El Paso,El Paso International,P,S,"1,509,093","1,495,879",0.88%
72,WP,CA,LGB,Long Beach,Long Beach /Daugherty Field/,P,S,"1,451,404","1,401,903",3.53%
73,SO,AL,BHM,Birmingham,Birmingham-Shuttlesworth International,P,S,"1,443,215","1,442,155",0.07%
74,WP,GU,GUM,Tamuning,Guam International,P,S,"1,411,024","1,250,479",12.84%
75,NM,ID,BOI,Boise,Boise Air Terminal/Gowen Field,P,S,"1,406,750","1,400,343",0.46%
76,NE,NH,MHT,Manchester,Manchester,P,S,"1,391,797","1,578,349",-11.82%
77,SW,OK,TUL,Tulsa,Tulsa International,P,S,"1,382,895","1,416,249",-2.36%
78,WP,HI,KOA,Kailua Kona,Kona International at Keahole,P,S,"1,276,343","1,279,968",-0.28%
79,EA,NY,ROC,Rochester,Greater Rochester International,P,S,"1,263,965","1,273,783",-0.77%
80,EA,NY,ALB,Albany,Albany International,P,S,"1,250,282","1,302,814",-4.03%
81,GL,OH,DAY,Dayton,James M Cox Dayton International,P,S,"1,248,787","1,240,848",0.64%
82,WP,HI,LIH,Lihue,Lihue,P,S,"1,175,203","1,228,150",-4.31%
83,SW,AR,LIT,Little Rock,Adams Field,P,S,"1,097,403","1,108,603",-1.01%
