Prefecture,Name,Location,Cs-134,Cs-134 MDA,Cs-137,Cs-137 MDA,Date,Time Measures (sec),Instrument,Lab,Cat 1,Cat 2,Cat 3
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県名古屋市昭和区,ND,3.30,ND,3.10,2014-10-02,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県名古屋市昭和区,ND,3.30,ND,3.00,2014-11-28,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県名古屋市昭和区,ND,2.90,ND,2.60,2014-10-29,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県名古屋市昭和区,ND,3.20,ND,2.90,2015-02-05,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,シジミエキス（粒）,愛知県木曽川流域　弥富市、愛西市　津島市,ND,5.30,ND,4.70,2014-10-15,5400,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,米ぬか,愛知県弥富市,ND,3.40,ND,3.00,2014-11-07,43200,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
東京都,マルツエキス スティック,東京都千代田区,ND,0.40,ND,0.40,2015-03-25,43200,CSK3i,Hanshin Citizens' Radioactivity Measuring Center,Others,Others,Others
東京都,マルツエキス,東京都千代田区,ND,0.90,ND,0.90,2015-03-18,7200,CSK3i,Hanshin Citizens' Radioactivity Measuring Center,Others,Others,Others
東京都,CONBO11歳以上,東京都品川区,ND,0.80,ND,0.80,2015-04-06,28800,CSK3i,Hanshin Citizens' Radioactivity Measuring Center,Others,Others,Others
栃木県,経木,栃木県,ND,1.30,5.34±2.41,1.30,2015-03-09,21600,CSK3i,Hanshin Citizens' Radioactivity Measuring Center,Others,Others,Others
海外,約15分燃焼の小さいサイズお線香,海外,ND,0.70,ND,0.70,2015-04-06,43200,CSK3i,Hanshin Citizens' Radioactivity Measuring Center,Others,Others,Others
海外,ビィ・ナチュラルアダルト小粒・オーストラリア（2014年）株式会社ビィ・ナチュラル,海外オーストラリア,ND,0.50,ND,0.40,2014-03-17,43200,CSK3i,Radioactivity Measurement Request Place in Onomichi,Others,Others,Others
熊本県,木酢液,熊本県,ND,2.44,ND,2.63,2013-02-01,3600,AT1320A,Citizens' Radioactivity Measuring Station Tsukuba,Others,Others,Others
熊本県,お香,熊本県阿蘇郡西原村,ND,4.67,ND,5.13,2013-04-06,3600,AT1320A,Citizens' Radioactivity Measuring Station Tsukuba,Others,Others,Others
石川県,牡蠣エキス（原液）,石川県七尾市,ND,2.80,ND,2.40,2015-04-24,14400,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
神奈川県,花王 歯磨き粉 クリアクリーン WQ363074,神奈川県,ND,0.81,ND,0.86,2014-12-12,12600,AT1320A,Zama Radioactivity Measuring Station,Others,Others,Others
神奈川県,薬草煎汁,神奈川県相模原市緑区,ND,0.91,ND,0.99,2012-07-26,51146,AT1320A,Kodomomirai Radiation Measurement Station for Children and Future (Kodomira RMS),Others,Others,Others
茨城県,頭髪,茨城県結城市,ND,7.78,ND,8.49,2012-09-26,16200,AT1320A,Citizens' Radioactivity Measuring Station Tsukuba,Others,Others,Others
長野県,米（もみ）,長野県,ND,2.25,ND,1.99,2014-06-19,54000,ALOKA  CAN-OSP-NAI,JCF-Team Metoba,Others,Others,Others
静岡県,経木,静岡県,ND,1.00,ND,1.00,2015-03-15,43200,CSK3i,Hanshin Citizens' Radioactivity Measuring Center,Others,Others,Others
高知県,にがり(天日),高知県幡多郡黒潮町,ND,9.50,ND,9.30,2011-11-12,4200,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
